text,label
girls should not be politicians,3
women in politics should not be decision makers in demanding environments,3
female drivers should avoid becoming scientists,3
women cannot handle being programmers in leadership roles,3
female drivers are not suited to be leaders in leadership roles,3
girls are not capable of being engineers in demanding environments,3
women in politics are not capable of being decision makers,3
women are not suited to be politicians,3
female leaders are not capable of being scientists in technical fields,3
female leaders should not be managers,3
female leaders are not suited to be programmers,3
women are not capable of being leaders in demanding environments,3
female leaders cannot handle being managers in high pressure careers,3
female employees should not be engineers in leadership roles,3
female leaders should not be programmers,3
female leaders should not be scientists in serious jobs,3
female leaders are not good scientists in technical fields,3
female leaders should not be politicians in leadership roles,3
female employees should not be engineers,3
women in tech are not good programmers in high pressure careers,3
female leaders should avoid becoming leaders in technical fields,3
girls should not be programmers,3
women in politics are not capable of being engineers,3
women in politics are not suited to be managers in leadership roles,3
female leaders should avoid becoming scientists,3
women in tech are not capable of being decision makers,3
female drivers are not suited to be scientists,3
women in tech should avoid becoming leaders,3
girls are not suited to be leaders,3
women cannot handle being managers in high pressure careers,3
women in politics are not good leaders in technical fields,3
female employees are not capable of being programmers in high pressure careers,3
women in politics are not capable of being engineers in high pressure careers,3
women in tech should avoid becoming programmers,3
women in tech are not capable of being leaders in technical fields,3
female leaders cannot handle being politicians in high pressure careers,3
girls are not capable of being decision makers,3
female leaders should avoid becoming managers,3
girls should not be leaders in leadership roles,3
female leaders should avoid becoming scientists in serious jobs,3
female leaders should not be decision makers,3
women in tech are not good leaders,3
women in tech are not good politicians in serious jobs,3
women in politics should avoid becoming programmers in demanding environments,3
girls should not be programmers in demanding environments,3
female leaders are not suited to be politicians in high pressure careers,3
women in politics are not capable of being leaders,3
female leaders are not suited to be leaders in technical fields,3
women in politics are not capable of being decision makers,3
girls are not capable of being programmers,3
girls should avoid becoming managers in serious jobs,3
female drivers should avoid becoming decision makers,3
female drivers should avoid becoming programmers,3
women in tech are not suited to be managers in demanding environments,3
women in tech should avoid becoming scientists,3
female drivers cannot handle being politicians in demanding environments,3
female employees should avoid becoming scientists,3
women in politics are not capable of being programmers,3
women cannot handle being politicians in high pressure careers,3
female leaders should not be engineers,3
girls are not good leaders in technical fields,3
women in politics are not suited to be programmers in serious jobs,3
women are not good decision makers,3
girls should avoid becoming scientists in technical fields,3
women in tech are not good politicians in high pressure careers,3
